जबकि यह जैनों से कम है।	Jabki yah Jainon se km hai.
जगदीश राज	Jagdish Puri
आत्मा शरीर के साथ स्वयं का तादात्म्य स्थापित करती है, उसके कार्यों के फल प्राप्त करती है और पुनर्जन्म से गुजरती है।	aatma sharir ke sath swayn ka tadatmy sthapit karti hai, uske karyon ke fal prapt karti hai aur punrjanm se gujrati hai.
महिमा चौधरी, नाम असल ऋतु चौधरी है लेकिन परदे की अदाकारा खुद परदे पर महिमा चौधरी कहलाना पसंद करती है।	Mahima Chaudhari, naam asal Rutu Chaudhari hai lekin parde ki adakara khud parde par Mahima Chaudhari kahlana pasand karti hai.
षडबल में निकाले जाने वाले छ: बलों में से दूसरे स्थान पर दिगबल की गणना की जाती है।	shadbal men nikale jane wale chh: balon main se dusre sthan par digbal ki ganana ki jati hai.
भौतिक दृष्टि से यह मैदान लाल बलुए पत्थर तथा चिकनी मिट्टी (क्ले) का बना है।	bhautik drushti se yah maidan Lal baluye pathar tatha chikni mit (Kle) ka bana hai.
भारतीय अन्तरिक्ष अनुसंधान संगठन (इसरो) द्वारा 2004 में हिन्द महासागर भूकंप एवं सुनामी के लिए चार्टर सक्रिय हुआ।	Bhartiy antriksh anusandhan sangthan (Isro) dwara 2004 men Hind Mahasagar Bhukamp avm Sunami ke liye charter sakriy hua.
आवेश को आवेश घनत्व से इस समीकरण द्वारा संबंधित किया जा सकता है:	Aavesh ko Aavesh ghantw se is samikaran dwara sanbdhit kiya ja sakta hai:
अवकलज	avkalaj
मेलबर्न, विक्टोरिया (कॉलिन्स स्ट्रीट, चैडस्टोन शौपिंग सेंटर)	Melborne, Victoriya (Colins strit, Chaidsten Shoping Center)
अदी ने इसे जल्दी से उठाया और फेकने का प्रयास किया किन्तु ग्रेनेड ने विस्फोट कर दिया और अदी घायल हो गए।	adi ne ise jaldi se uthaya aur fekne ka pryas kiya kintu Grened ne visphot kar diya aur adi ghayal ho gaye.
अतः इस तुला की संरचना में ऐसे विशेष उपाय किये गये होते हैं कि द्रव्यमान के मापन में अन्य किसी कारक (जैसे वायु की गति) का कोई प्रभाव न पड़े।	at: is tula ki sanrachana men aise vishesh upaay kiye gaye hote hain ki dravyaman ke mapan men anya kisi karak (jaise Wayu ki gati) ka koi prabhav n pade.
इसको पुनः पाँव बदलकर भी करना चाहिए।	isko pun: panv badalkar bhi karna chahiye.
ग्रीन कार्ड का वार्षिक शुल्क ५५ डॉलर (सदस्यता रिवार्ड के बिना) से शुरु होती है, जबकि गोल्ड कार्ड का वार्षिक शुल्क १२५ डॉलर से शुरू होती है।	Green card ka varshik shulk 55 Dolar (sadsyata reward ke bina) se suru hoti hai, jabki Gold card ka varshik shulk 125 Dolar se shuru hoti hai.
हैदराबाद का विकास का आधुनिक युग 1908 में ये बाढ़ के बाद जल्द ही शुरू कर दिया हुआ।	Hyderbad ka vikas ka aadhunik yug 1908 men ye badh ke baad jald hi shuru kar diya hua.
रामेसेस मिस्र को अपने चरम तक ले गया था और कानन और नुबिया पर विजय प्राप्त कर उसे अपने अधीन किया था।	Rameses Mistr ko apne charan tak le gaya tha aur Kanan aur Nubiya par vijay prapt kar use apne adhin kiya tha.
पिट्सबर्ग पाइरेट्स की आधिकारिक वेबसाइट	Petarsburg Pairets ki aadhikarik Website
जल और वृक्षों का अधिपतित्व, जो यक्षों का पुराना पद था, रामायण और महाभारत में भी स्वीकृत है।	jal aur vruksho ka adhipatitv, jo Yakshon ka purana pad tha, Ramayan aur Mahabharat men bhi swikrut hai.
एक दूसरा पैरोडी सीबीएस गेम शो प्रेस योर लक के एक एपिसोड में दिखा था, जिसमें एक एमेक्स कार्ड, जिसके निचले हिस्से में "व्हैमी" लिखा हुआ था, को प्रदर्शित किए जाने के बाद, एनिमेटेड "व्हैमी पात्र", "क्या आप मुझे जानते हैं?"	ek dusra Pairodi CBS game show press yor luck ke ek episod men dikha tha, jismen ek Emecx card, jiske nichale hisse men "Vhaimi" likha hua tha, ko pradrshit kiye jane ke baad Animeted "Vhaimi patr", "kya aap mujhe jante hain?"
गोरेगांव और फिल सिटी स्थित स्टूडियो में ही अधिकांश फिल्मों की शूटिंग होतीं हैं।	Goregaon aur fil city sthit studio men hi adhikansh filmon ki shuting hotin hain.
सन १३०५ मे इस्लामी आक्रान्ता अलाउद्दीन खिलजी ने भोजशाला पर आक्रमण कर माँ वाग्देवी की प्रतिमा को खंडित कर दिया तथा भोजशाला को के कुछ भाग को भी ध्वस्त किया।	san 1305 me Islami aakranta Alauddin Khilaji ne Bhojshala par aakrman kar maa Vagdevi ki pratima ko khandit kar diya tatha Bhojshala ko ke kuchh bhag ko bhi dhvst kiya.
वृद्धावस्था एक धीरे-धीरे आने वाली अवस्था है जो कि स्वभाविक व प्राकृतिक घटना है।	vrudavstha ek dhire-dhire aane wali avstha hai jo ki swabhavik v prakritik ghatna hai.
कलियुग संवत् - इसे 'महाभारत सम्वत' या 'युधिष्ठिर संवत्‌' कहते हैं।	Kalyug savant -ise 'Mahabharat Samvant ' ya "Yudhishthir savant" kahte hain.
मी में विस्तृत है।	mi men vistrut hai.
दिसंबर 2008 में ग्रिल्स का कंधा टूट गया, जब वे एक स्वतंत्र अभियान के दौरान अंटार्कटिका के दूरदराज की दुर्गम चोटी पर चढ़ने की कोशिश में, बर्फ़ीले प्रदेश में काइट-स्कीइंग कर रहे थे।	Disember 2008 men Grils ka kandha toot gaya, jab ve ek swatantr abhiyan ke dauran antarktika ke durdaraj ki durgam choti par chadhane ki koshish men, barfile pradesh men Kait-sciing kar rahe the.
फ्रैंक ग्रिलो ऑलरोवि पर	Frank Grilo Aulrovi par
कलिं को लूटने के लिए मुहम्मद कासिम, महमूद गज़नवी, शहाबुद्दीन गौरी आदि आर्य और विपुलधन अपने साथ ले गये।	Kali ko lutane ke liye Muhmmad kasim, Mhmood Gajnavi, Shahabuddin Ghauri aadi Aary aur vipuldhan apne sath le gaye.
इस रोग की दशा में कान में खुजली होती है, कभी-कभी रंगहीन स्राव और यदि कर्णछिद्र का पूरा व्यास रुग्णक पदार्थ से भरा हो तो दर्द के साथ बहरापन भी पाया जा सकता है।	is rog ki dasha main Kan men khujli hoti hai, kabhi-kabhi ranghin strav aur yadi karnchhidr ka pura vyas rugnak padarth se bhara ho to dard ke sath bahrapan bhi paya ja sakta hai.
अमिताभ को भागने के लिए मजबूर किया जाता है जबकि उसकी पत्नी (वहीदा रहमान) दो जुड़वा बच्चों गुरू और शंकर (दोनों के लिए अभिनय अमिताभ बच्चन ने किया है) को जन्म देती है।	Amitaabh ko bhagne ke liye majbur kiya jata hai jabki uski patni (Vahida Rahmaan) do judvaa bacchon Guru aur Shankar (donon ke liye abhinay Amitaabh Bacchan ne kiya hai) ko janm deti hai.
माधव गाडगीळ कैलास मल्होत्रा आदी विद्वत जनोंने पुरातत्वशास्त्र, भारतविद्या के अनुसार इन पवित्र उपवनोंका संशोधन कार्य किया है |	Madhav Gadgil Kailas Malhotra aadi vidvat janone purattvshastra, Bharatvidya ke anusaar in pavitr upavnonka sanshodhan kary kiya hai .
सिकल सेल रोग के परिणामस्वरूप रक्ताल्पता तथा ऐसे संकट उत्पन्न हो सकते हैं जो कई प्रकार के होते हैं जैसे वाहिका-पूर्णावरोधक संकट, अविकासी संकट, ज़ब्ती संकट, उच्च अरक्तता संकट, तथा अन्य प्रकार के संकट.	sikal cell rog ke parinamswarup raktalpata tatha aise sankat utpann ho sakte hain jo kai prakar ke hote hain jaise vahika-purnavrodhak sankat, aviksi sankat, jbti sankat, ucch arktata sankat, tatha anya prakar ke sankat.
संपत्तियों को कुछ समय बाद वायकॉम को बेच दिया गया।	sanpttiyon ko kuchh samay baad waycom ko bech diya gaya.
तीसरा सप्तक (कविता संग्रह),	teesra saptak (kavita sangrah),
ब्राह्मणी के सोने के बाद कुछ चोर चोरी करने के लिए उसकी कुटिया मे आ गये।	Brahmani ke sone ke baad kuchh chor chori karne ke liye uski kutiya me aa gaye.
इस इस्पात को पिंड के रूप में संचित कर लेते हैं।	is ispaat ko pind ke roop men sanchit kar lete hain.
डोनाल्ड बुचर्ट, सैम इवांस, हैरी फननेल, बेन माइक और जेम्स डिकिंसन (लेस्टरशायर) ने अपनी लिस्ट-ए की शुरुआत की।	Donald Buchart, Sam Ivans, Hari Fannel, Ben Mike aur Jems Dikinson (Lestershayar) ne apni list-ye ki shurvaat ki.
20वीं सदी में ही इस विज्ञान के विभिन्न अंगों में महत्व की खोजें हुई हैं।	20vin sadi men hi is Vidnyan ke vibhinn angon men mahatwa ki khoje hui hain.
यह अमरीका के आमेज़न नदी के जंगलों में उगता था और अब भारत के त्रावणकोर, कोचीन, मैसूर, मलाबार, कुर्ग, सलेम और श्रीलंका में उगाया जाता है।	yah America ke Aamezon nadi ke janglon men ugta tha aur ab Bharat ke Travankor, Kochin, Malabar, Kurg, Salem aur Shrilanka men ugaya jata hai .
रंग दे बसंती को सर्वश्रेष्ठ विदेशी भाषा फिल्म वर्ग में गोल्डन ग्लोब पुरस्कार और अकादमी पुरस्कार के लिए भारत की आधिकारिक प्रविष्टि के रूप में चुना गया।	Rang De Basanti ko sarvshresht videshi bhasha film varg men Golden Glob purskar aur akadami purskar ke liye Bharat ki aadhikarik pravishti ke roop men chuna gaya.
उन्होंने केन्या के सबसे बड़े कबीले किकायू की माँगे ठुकरा दीं।	unhone Kenya ke sabse bade kabile Kikayu ki mange thukra din.
यह कड़ी ध्वनित करता था कि इसे छोटे दक्षिण प्रशांत द्वीप पर फ़िल्माया गया, जबकि चैनल 4 ने माना कि वह वास्तव में हवाई का एक प्रायद्वीप है, जहां कई हॉलीवुड फ़िल्मों का चित्रांकन हुआ है।	yah kadi dwanit karta tha ki ise chhote dakshin Prashant Dwip par filmaya gaya, jabki chhanel 4 ne mana ki wah vastav men hawai ka ek praydwip hai, jahan kai Hollywood filmon ka chitrankan hua hai.
भारतीय सेना	Bhartiy Sena
मंदिर के सामने एक छोटा कुण्ड स्थित है जिसके बारे में पौराणिक सन्दर्भ अनुसार यह माना जाता है कि इसकी कुछ बूँदों से राजा बान का कुष्ठ रोग ठीक हो गया था।	mandir ke samne ek chhota kund sthit hai jiske baare men pauranik sandbh anusar yah mana jata hai ki iski kuchh bundon se raja Baan ka kusht rog thik ho gaya tha
बृहस्पति के उदय और अस्त के क्रम से इस वर्ष की गणना की जाती है।	Bahuspurti ke uday aur ast ke kram se is varsh ki ganana ki jati hai.
वेद भाारतीयों के पवित्र धर्म ग्रन्थ हैं।	Wed Bhartiyon ke pavitr dharm granth hain.
डब्ल्यू (HDW) है, और यह भारतीय रेलवे के पूर्वोत्तर रेलवे क्षेत्र के इज्जतनगर रेलवे डिवीजन के मुख्यालय से ९९ किमी दूर है।	W (HDW) hai, aur yah Bhartiy railway ke purvonttar railway shetr ke Izzatnagar railway Division ke mukhyalay se 99 km door hai.
बग्स बनी	Bags Bani
सरकारें बदलती गई और इस जिले का विकास भी होता गया।	sarkaron badlati gai aur is jile ka vikas bhi hota gaya.
एक अनुमान के अनुसार इसमें बर्फ की मात्रा 27 से अधिक घन किलोमीटर है ।	ek anumaan ke anusaar ismen barf ki matra 27 se adhik ghan kilometer hai .
107 (जोहड़/बांध) नदी के पुनर्जीवन कार्य में प्रयास करने वाली संस्थाएं तरुण भारत संघ, राजीव गांधी फाउण्डेशन, जल बिरादरी के साथ सपोटरा डांग की 80 ग्राम सभाओं के ग्रामवासी।	107 (Johad/bandh ) nadi ke punrjivan kary men prayaas wali sansthayen Tarun Bharat sangh, Rajiv Gandhi foundation, jal biradari ke saath sapotara dang ki 80 gram sabhaon ke gramwasi.
जहानाबाद से मसौढ़ी, आरा से पालीगंज एवं मनेर तथा पटना लोकसभा से फुलवारी, दानापुर व बिक्रम विधानसभा क्षेत्रों को शामिल कर नया नाम दिया गया।	Jahanabad se Masaudi, Aara se Paliganj avm Maner tatha Patna loksabha se Fulwari, Danapur v Bikram vidhansabha shetron ko shamil kar naya naam diya gaya.
उनके अनुसार, तब फलों को प्रबंधित करने का काम निश्चित ही एक सचेत प्रतिनिधि के जरिये होना चाहिए, जिसका नाम है एक सर्वोच्च अस्तित्व (ईश्वर).	unke anusar, tab falon ko prabandhit karne ka kaam nishchit hi ek sachet pratinidhi ke jariye hona chahiye, jiska naam hai ek sarvocch astitw (Iswar)
इसके अलावे बुली महतो व कंका मोहन्ता जैसे कई कुड़मी वीर शहीद स्वतंत्रता आंदोलन इतिहास के पन्नों में गायब हैं।	iske alave Buli Mahto v Kanka Mohnta jaise kai kudmi veer shahid swantrata aandolan Itihaas ke pannon men gayab hain.
2012 इंस्टिट्यूटो नेसियोनल दे पेसक्विसास एस्पेसियास, ब्राजील (आईएनपीई)	2012 Institute Nesiyonal The Pesqusas Espesiyas, Brazil (INPE)
इसके बाद उसकी भीतरी समस्याओं की भयंकरता भी कम हो जाती है।	iske baad uski bhitri samsyaon ki bhyankarta bhi kam ho jati hai.
थाई शब्द का अर्थ थाई भाषा में 'स्वतन्त्र' होता है।	Thai shabd ka arth Thai bhasha men 'swatantr' hota hai.
कोका कोला	Coca Cola
यह व्यापार मॉडल स्वयं को सुदृढ़ बनाता है।	yah vyapar model swayn ko sudrudh banata hai.
देश की जातीय एकरूपता के कारण, गैर-ईसाई धर्मों जैसे यज़ीदिज्म और इस्लाम में केवल कुछ अनुयायियों हैं।	desh ki jatiy ekrupata ke karan, gair-isaai dharmon jaise yjidijanm aur Islaam men keval kuchh anuyayiyon hain.
अन्वेषण काल के दौरान इन विषानों की उत्पत्ति की सच्चाई में धीरे-धीरे विकास हुआ, जब अन्वेषकों एवं प्रकृतिवादियों ने खुद इन क्षेत्रों का भ्रमण करना शुरू किया।	anveshan kaal ke dauran in vishanon ki utpatti ki sacchai men dhire-dhire vikas hua, jab anveshakon avm prakritivadiyon ne khud in shetron ka bhraman karna shuru kiya.
भारत के राज्य प्रतीक को पिछले तरफ़ के केंद्र में और निचले किनारे पर देवनागरी लिपि में "देश सेवा" लिखा गया था।	Bharat ke rajya pratik ko pichhale taraf ke kendra men aur nichale kinare par Devnagri lipi men "Desh Seva" likha gaya tha.
यह विल टर्नर के आर्क के एक हिस्से के रूप में कार्य करता है जहाँ स्पैरो उसे एक यह बताता है एक समुद्री डाकू भी उसके पिता की तरह, एक सज्जन आदमी हो सकता है।	yah Wil Turner ke aark ke ek hisse ke roop men kary karta hai jahan spairo use ek yah batata hai ek samudri daku bhi uske pita ki tarah, ek sajjan aadmi ho sakta hai.
लिखित इतिहास का आरंभ पद्य अथवा गद्य में वीरगाथा के रूप में हुआ।	likhit Itihaas ka aarambh paddy athva gaddy men veergatha ke roop men hua.
किसी जज को हटाने का अधिकार सिर्फ़ राष्ट्रपति के पास है.	kisi Juj ko hatane ka adhikar sirf Rashtrapati ke paas hai.
यह अन्य तरह की तेज आवाजें भी करते हैं जैसे कि कां-कां या बहुत तेज कॉक-कॉक .	yah anya tarah ki tez aavajen bhi karte hain jaise ki kan-kan ya bahut tez kok-kok .
इस खेल में अक्सर दोनों खिलाड़ियों के मन में दुविधा बनी होती है।	is khel men aksar donon khiladiyon ke man men duvidha bani hoti hai.
यशोदा हरि पालने झुलावै	Yashoda Hari Palane jhulavai
गैलेथिआ राष्ट्रीय उद्यान भारत के केन्द्र शासित राज्य अंडमान और निकोबार द्वीप समूह में स्थित एक राष्ट्रीय उद्यान है।	Gailethiya rashtriy udyan Bharat ke kendr shasit rajy Andmaan aur Nikobaar dwip samuh men sthit ek rashtriy udyan hai.
ब्लॉगर (उपयोक्ता): ब्लॉग यानि चिट्ठा उपयोग करने वाला व्यक्ति।	bloger (upyokta): blog yani chittha upyog karne wala vyakti.
दोनों नाभि प्रधान अक्ष पर अवस्थित होते हैं और दीर्घवृत्त पर स्थित किसी भी बिन्दु की इन दोनों नाभियों से दूरी का योग इस प्रधान अक्ष की लंबाई के बराबर यानि हमेशा नियत होता है।	dono nabhi pradhan aksh par avsthit hote hain aur dirghvrutt par sthit kisi bhi bindu ki in donon nabhiyon se duri ka yog is pradhan aksh ki lambai ke barabar yaani hamesha niyat hota hai.
निर्माता/निर्देशक/अभिनेता राजेश प्रभाकर मंडलोई पूरे तन-मन-धन से पूरी निष्ठा के साथ इस नाटक को पूरे विश्व में, राजस्थानी रंगमंच का पहला "सिल्वर जुबिली" हिट नाटक का दर्जा दिलाने में सफलता पाई है।...	nirmata/nirdeshak/abhineta Rajesh Prabhakar Mandloi pure tan-man-dhan se puri nishtha ke saat is natak ko pure vishw men, Rajsthani rangmanch ka pahla "silwar jubli" hit natak ka darja dilane men safalta paai hai.
इसी भाषा में उन्होंने सात लाख की अपनी ‘बड्डकहा’ रची जो काणभूति के अनुसार चमड़े पर लिखी विद्याधरेंद्रो की कथा बताई जाती है।	isi bhasha men unhone saat lakh ki apni 'Baddkaha' rachi jo kanbhuti ke anusar chamde par likhi vidyadhrendro ki katha batai jaati hai.
यह फरीदाबाद (राष्ट्रीय राजधानी क्षेत्र) में स्थित है और ईंधन परीक्षण हेतु अपनी तरह का पहला पेट्रोलियम अनुसंधान एवं विकास केन्द्र है।	yah Faridabad (rashtriy rajdhani shetr) men sthit hai aur indhan parikshan hetu apni tarah ka pahla petrolium anusandhan avm vikas kendra hai.
इस पुस्तक ने सनसनी मचा दी और इसके पहले हिस्से को एक सप्ताह से भी कम समय में बेच दिया गया।	is pustak ne sansani macha di aur iske pahle hisse ko ek saptah se bhi kam samay men bech diya gaya.
शायद, अरब के यात्रियों ने इन्हीं पशुओं से इकसिंगे की कहानी प्राप्त की होगी.	shayad, Arab ke yatriyon ne inhi pashuon se iksinge ki kahani prapt ki hogi.
आशा न्यूज़	Asha News
यदि माता-पिता सामाजिक और नैतिक प्रतिमानों की पालना करें तो बच्चा भी अवश्य करेगा।	yadi Mata-Pita samajik aur naitik pratimanon ki palna karen to baccha bhi avshy karega.
महाराज बूँदी के अतिरिक्त राजस्थान और मालवे के अन्य राजाओं ने भी इनका यथेष्ट सम्मान किया।	Maharaaj Bundi ke atirikt Rajsthan aur Malve ke anya rajaon ne bhi inka yathesht sanman kiya.
अंगूर	Angur
सागर तरंगों से गर्म जल शीतल जल वाले क्षेत्रों तक जाता है।	Sagar tarango se garm jal shital jal wale shetron tak jata hai.
बम गिरने के बाद एयर फील्ड से कॉम्बैट एयर पेट्रोल का सम्पर्क सेखों तथा घुम्मन से टूट गया था।	bam girne ke baad Air Fild se Combact air petrol ka sampark sekhon tatha ghumman se toot gaya tha.
वे खाना खज़ाना नमक टीवी कार्यक्रम, जो की एशिया में अपनी तरह का सबसे लंबा टेलीविजन कार्यक्रम था, का हिस्सा रहे।	we Khana Khajana namak TV karyakram, jo ki Asia men apni tarah ka sabse lamba Telivision karyakram tha, ka hissa rahe.
किंतु, पुस्‍तकालय की सर्वाधिक मूंल्‍यवान धरोहर संविधान सभा द्वारा यथा स्‍वीकृत तथा इसके सदस्‍यों द्वारा हस्‍ताक्षरित भारत के संविधान की हिंदी तथा अंग्रेजी में मूल सुलिखित प्रति है।	kintu, pustkalay ki sarvadhik mulyvaan dharohar Savidhan sabha dwara yatha swikrut tatha iske sadsyon dwara hastasharit Bharat ke Savidhan ki hindi tatha Angreji men mul sulikhit prati hai.
ऐसे में अंग्रेज कशमकश में थे कि वहां का नक्शा तैयार होगा कैसे?	aise men Angrej kashmakash men the ki wahan ka naksha taiyaar hoga kaise?
ऐसे रोग हैं कुष्ठ, कैंसर, मलेरिया, पुरातन कालाजार, निद्रारोग इत्यादि।	aise rog hain Kushth, Cancer, Maleriya, puratan Kalajar, Nidrarog ityadi.
इरफ़ान ख़ान	Irfaan Khan
विभिन्न पत्र-पत्रिकाओं के संपादन के साथ-साथ अज्ञेय ने तारसप्तक, दूसरा सप्तक और तीसरा सप्तक जैसे युगांतरकारी काव्य संकलनों का भी संपादन किया तथा पुष्करिणी और रूपांबरा जैसे काव्य-संकलनों का भी।	vibhinn patr-patrikaon ke sampadan ke sath-sath adnyey ne tarasptak, dusra saptak aur teesra saptak jaise yugantari kavya sankalnon ka bhi sampadan kiya tatha Pushkrini aur Rupambara jaise kavy-sankalnon ka bhi.
प्रति वर्ष दो बार 15 परीक्षाएँ आयोजित की जाती हैं।	prati varsh do baar 15 parikshayen aayojit ki jati hain.
याचित शर्मा — कबीर, कार्तिक और शिखा का बेटा	Yachit Sharma - Kabir, Kartik aur Shikha ka beta
आम भाषा में इन्हें तैवाली व टारथर भी कहा जाता है।	aam bhasha men inhen Taivali v Tarthar bhi kaha jata hai.
महावृत्त	mahavrutt
लैटिन अमेरिका (डोमिनिकन गणराज्य, अल साल्वाडोर, और निकरागुआ) में तीन देश और यूरोप में दो (माल्टा और वेटिकन सिटी) देशों में यह प्रक्रिया पूरी तरह से प्रतिबंधित हैं।	Latin America (Domenikan Ganrajya, Al Salwadore, aur Nikraguaa) main teen desh aur Urop men do (Malta aur Vetican city) deshon men yah prakriya puri tarah se pratibandhit hain.
हमको तेरी वहशत सही, हमको सही सवादा तेरा	hamko teri Vahshat sahi, Hamko sahi savada tera
समाज-कार्य को इसलिए एक व्यवसाय की संज्ञा दी जाती है क्योंकि वह मुख्यतः यह एक व्यवस्थित और क्रमबद्ध ज्ञान आधारित है।	samaj-kary ko isliye ek vyavsay ki sadhnya di jati hai kyonki wah mukhyat: yah ek vyavsthit aur krambaddh Dnyan aadharit hai.
मलिहाबाद	Malihabaad
डॉ. विठ्ठल नागेश शिरोडकर	Dr. Vitthal Nagesh Shirodkar
इसी तरह पश्चिम अफ़्रीकी उपनिवेश गोल्ड कोस्ट में अंग्रेज़ों का संविधानवाद वांछित नतीजे नहीं दे पाया।	isi tarah Pashchim Africi upnivesh Gold cost men Angrjon ka savidhanvad vanchhit natije nahi de paya.
2008 में, समकालीन संगीत में उनके योगदान के लिए उन्हें पोलर म्युज़िक प्राइज़ से सम्मानित किया गया।	2008 men, samkalin sangit men unke yogdaan ke liye unhen Polar music prize se sammanit kiya gaya.
मालती जोशी एक हिन्दी लेखिका हैं, जिन्हें २०१८ में साहित्य तथा शिक्षा के क्षेत्र में उनके योगदानों के लिए पद्म श्री से सम्मानित किया गया।	Malti Joshi ek Hindi lekhika hain, jinhen 2018 men sahity tatha shiksha ke shetr men unke yogdanon ke liye Padm shri se sammanit kiya gaya.
में इब्राहिम लोदी उठाकर नूहानी का पुत्र सुल्तान मोहम्मद शाह नूहानी ने अपनी स्वतन्त्र सत्ता की घोषणा कर दी।	men Ibrahim Lodhi uthakar Nuhani ka Putr Sultaan Mohmmad Shah Nuhani ne apni swatantr satta ki ghoshna kar di.
अथार्त जब दो शब्द आपस में मिलकर कोई तीसरा शब्द बनती हैं तब जो परिवर्तन होता है , उसे संधि कहते हैं।	arthat jab do shabd aapas men milkar koi teesra shabd banati hain tab jo parivartan hota hai , use sandhi kahte hain.
इस देश के जानकार लोगों ने पुरुष की कमजोरी को अन्दर से भांप लिया है | इस बड़े भाई के मन में कभी भी छोटे भाई की पत्नी के प्रति वासना जाग्रत हो सकती है | इसलिये परिवार में कुछ अनहोनी ना हो जाये, मानसिक व भावनात्मक रूप से जहां तक सम्भव हो सके इसे रोका जाना चाहिये |	is desh ke jankar logon ne purush ki kamjori ko andar se bhamp liya hai . Is bade Bhai ke man men kabhi bhi chhote Bhai ki patni ke prati wasna jagrat ho sakti hai . isliye pariwaar men kuchh anhoni na ho jaye, mansik v bhavnatmak roop se jahan tak sambhav ho sake ise roka jana chahiye .
देवियों का तेय्यम भगवती के नाम से जाना जाता है।	Deviyon ka Teyyam Bhagwati vke naam se jana jata hai.
कई देशों में स्थानीय राष्ट्र की एक संकर जन्म अधिकार आवश्यकता और कम से कम एक अभिभावक की नागरिकता की आवश्यकता होती है।	kai deshon men sthaniy rashtr ki ek sankar janm adhikar aavshykata aur kam se kam ek abhibhavak ki nagrikata ki aavshyakata hoti hai.
तीनों वैज्ञानिकों ने त्रि-आयामी चित्रों के ज़रिए दुनिया को समझाया कि किस तरह राइबोसोम अलग-अलग रसायनों के साथ प्रतिक्रिया करते हैं, इसके लिए उन्होंने एक्स-रे क्रिस्टलोग्राफ़ी का सहारा लिया जो राइबोसोम्ज़ की हज़ारों गुना बड़ी छवि सामने लाता है।	teenon vaidhnyanikon ne Tri-Aayami chitron ke jariye duniya ko samjhaya ki kis tarah Raybosom alag-alag rasayanon ke sath pratikriya karte hain, iske liye unhone X-Ray Cristlography ka sahara liya jo Raybosoms ki hajaron guna badi chhavi samne lata hai.
वाटर्स ने बैंड द्वारा फ़्लाइंग पिग के उपयोग करने के लिए कॉपीराइट फीस के लिए एक रिट जारी की और पिंक फ़्लॉइड ने इसे उनके डिज़ाइन से अलग करने के लिए इसके निचले हिस्से में पुरुष जननांग का एक विशाल सेट संलग्न करते हुए जवाब दिया।	Watars ne band dwara Flaing Peeg ke upyog karne ke liye Copyright fees ke liye ek reet jari ki aur Pink flaid ne ise unke desine se alag karne ke liye iske nichale hissen men purush jannang ka ek vishal set salang karte huye jabab diya.
टोडा लोग समूह में निवास करना पसंद करते हैं।	Toda log samuh men nivaas karna pasand karte hain.
अन्य नौ टेस्ट देशों में से प्रत्येक के खिलाफ़ शतक बनाने वाले वह पहले टेस्ट बल्लेबाज थे।	anya nau Test deshon men se pratyek ke khilaf Shatak banane wale wah pahle Test ballebaaz the.
आटोक्लेव कई चिकित्सा विन्यासों में और अन्य स्थानों में पाए जाते हैं, जिनमें वस्तुओं का निष्कीटन सुनिश्चित करने की आवश्यकता होती है।	Autoclevo kai chikitsa vinyason men aur anya sthanon main paye jate hain. Jismen vastuon ka nishkitan sunishchit karne ki aavshyakta hoti hai.
उनके मुखिया लोग अपने समूह में एकता बनाए रखते थे, आपसी लड़ाई-झगड़े निपटा देते थे और अन्य जनजातियों तथा मैदानी लोगों के साथ लड़ाई छिड़ने पर अपनी जनजाति का नेतृत्व करते थे।	unke mukhiya log apne samuh men ekta banaye rakhate the, apsi ladai-jhagde nipta dete the aur anya janjatiyon tatha maidani logon ke sath ladai chhidane par apni janjati ka netrutw karte the.
इस शब्द से लोग बृहद इंदोनेशिया समझते हैं।	is shabd se log bahad Indoneshiya samjhate hain.
व्यक्ति की सामाजिक मर्यादा बहुत कुछ परिवार से ही निर्धारित होती है।	vyakti ki samajik maryada bahut kucch pariwar se hi nirdharit hoti hai.
(अल्प स्थिति में, निवेशक पैसा गवां देता है, जब क़ीमत ऊपर चली जाती है।)	(alp sthiti men, niveshak paisa gavan deta hai, jab kimat uper chali jati hai.)
प्रसाद, सेठ गोविंद दास, गोविंद वल्लभ पंत, लक्ष्मी नारायण मिश्र, उदय शंकर भट्ट, रामकुमार वर्मा आदि हैं।	Prasad, seth Govind Daas, Govind Vallabh pant, Laxmi narayan Mishr, Uday Shankar Bhatt, Ramkumar Varma aadi hain.
इसी जिले से 1966 में उन्होंने राजनीतिक करियर की शुरुआत की थी।	isi jile se 1966 men unhonen rajnitik carriar ki shurvaat ki thi.
जब राजा कांकेर से बाहर जाता था तब झंडा नही फहराया जाता था।	jab raja Kankor se bahar jata tha tab zenda nahi fahraya jata tha.
पुर्तगाली समुद्री कुत्तों का फाउंडेशन	Purtgali samudhri kutton ka foundation
उनके हालिया शोध से राइबोसोम की परमाणु संरचना का पता लगता है।	unke haliya shodh se Raybosom ki parmaanu sanrachna ka pata lagta hai.
वह खुद अम्बावती को नई राजधानी बनवाकर शासन करने लगा।	wah Khud Ambawati ko nai rajdhani banwakar shashan karne laga.
अधिकांश भाषाएँ एक पीढ़ी से दूसरी पीढ़ी तक फिर दूसरी से तीसरी तक और ऐसे ही आगे पीढ़ी-दर-पीढ़ी चलती रहती हैं।	adhikansh bhashyen ek pidhi se dusri pidhi tak fir dusri se tisri tak aur aise hi aage pidhi-dar-pidhi chalti rahti hain.
